edge_case,strategy,interest_mean,interest_std,months_mean,paid_off_pct,credit_mean,n
income_shock,Avalanche,629.8,0.0,10.0,1.0,825.8,10
income_shock,MinimumOnly,596.68,0.0,8.0,1.0,823.4,10
income_shock,NormalizedAvalanche,582.05,0.0,6.0,1.0,815.7,10
income_shock,PPO,605.08,0.0,9.0,1.0,825.6,10
income_shock,Snowball,622.04,0.0,8.0,1.0,822.4,10
same_apr,Avalanche,793.01,0.0,8.0,1.0,814.9,10
same_apr,MinimumOnly,752.08,0.0,8.0,1.0,817.2,10
same_apr,NormalizedAvalanche,738.8,0.0,8.0,1.0,818.0,10
same_apr,PPO,744.31,0.0,8.0,1.0,817.7,10
same_apr,Snowball,793.01,0.0,8.0,1.0,814.9,10
single_card,Avalanche,146.99,0.0,3.0,1.0,823.6,10
single_card,MinimumOnly,146.99,0.0,3.0,1.0,823.6,10
single_card,NormalizedAvalanche,146.99,0.0,3.0,1.0,823.6,10
single_card,Snowball,146.99,0.0,3.0,1.0,823.6,10
zero_pct_intro,Avalanche,420.38,0.0,9.0,1.0,817.2,10
zero_pct_intro,MinimumOnly,565.71,0.0,8.0,1.0,818.7,10
zero_pct_intro,NormalizedAvalanche,514.44,0.0,8.0,1.0,817.9,10
zero_pct_intro,PPO,402.01,0.0,8.0,1.0,817.9,10
zero_pct_intro,Snowball,814.02,0.0,9.0,1.0,816.9,10
