preset,strategy,interest_mean_in_dist,interest_mean_held_out,interest_mean_gap,months_mean_in_dist,months_mean_held_out,months_mean_gap,util_mean_in_dist,util_mean_held_out,util_mean_gap,paid_off_pct_in_dist,paid_off_pct_held_out,paid_off_pct_gap,credit_score_mean_in_dist,credit_score_mean_held_out,credit_score_mean_gap
extended_ranges,PPO,4061.44,7778.32,3716.88,17.75,23.34,5.59,0.2213,0.2408,0.0195,98.7,89.6,-9.1,812.78,802.3,-10.48
extended_ranges,MinimumOnly,4237.63,8279.78,4042.15,17.67,23.41,5.74,0.222,0.2405,0.0185,98.5,89.5,-9.0,812.64,802.19,-10.45
extended_ranges,Snowball,4417.96,8483.33,4065.37,18.16,23.84,5.68,0.2311,0.2505,0.0194,98.6,89.3,-9.3,811.11,800.52,-10.59
extended_ranges,Avalanche,4066.33,7734.51,3668.18,18.0,23.52,5.52,0.2261,0.2437,0.0176,98.8,89.6,-9.2,811.99,801.88,-10.11
extended_ranges,NormalizedAvalanche,4176.22,8137.99,3961.77,17.39,23.13,5.74,0.2221,0.2401,0.018,98.6,89.5,-9.1,812.64,802.31,-10.33
high_apr_high_income,PPO,4061.44,2550.35,-1511.09,17.75,7.42,-10.33,0.2213,0.1869,-0.0344,98.7,100.0,1.3,812.78,819.15,6.37
high_apr_high_income,MinimumOnly,4237.63,2502.32,-1735.31,17.67,7.05,-10.62,0.222,0.188,-0.034,98.5,100.0,1.5,812.64,818.98,6.34
high_apr_high_income,Snowball,4417.96,2820.82,-1597.14,18.16,7.64,-10.52,0.2311,0.2146,-0.0165,98.6,100.0,1.4,811.11,814.6,3.49
high_apr_high_income,Avalanche,4066.33,2656.82,-1409.51,18.0,7.66,-10.34,0.2261,0.2003,-0.0258,98.8,100.0,1.2,811.99,816.95,4.96
high_apr_high_income,NormalizedAvalanche,4176.22,2447.23,-1728.99,17.39,6.79,-10.6,0.2221,0.1879,-0.0342,98.6,100.0,1.4,812.64,819.0,6.36
low_apr_low_income,PPO,4061.44,4462.03,400.59,17.75,31.17,13.42,0.2213,0.247,0.0257,98.7,88.6,-10.1,812.78,803.01,-9.77
low_apr_low_income,MinimumOnly,4237.63,4578.21,340.58,17.67,31.1,13.43,0.222,0.2487,0.0267,98.5,88.5,-10.0,812.64,802.66,-9.98
low_apr_low_income,Snowball,4417.96,4658.4,240.44,18.16,31.49,13.33,0.2311,0.253,0.0219,98.6,88.0,-10.6,811.11,801.83,-9.28
low_apr_low_income,Avalanche,4066.33,4381.63,315.3,18.0,31.3,13.3,0.2261,0.2495,0.0234,98.8,88.7,-10.1,811.99,802.61,-9.38
low_apr_low_income,NormalizedAvalanche,4176.22,4534.53,358.31,17.39,30.83,13.44,0.2221,0.2488,0.0267,98.6,88.7,-9.9,812.64,802.71,-9.93
